"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-09-02","6873 City Fitnes J2630 Ooff",42.5,"posted","Gym","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,"City Fitness Abc Club Fees"
"2025-09-02","Venmo",-77.5,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Venmo",8,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Venmo",-37,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Venmo",-194.99,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Venmo",1705,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-09-02","Michael Dominiecki ""pizza!""",8,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-09-02","Justin Bradley ""youtube Tv""",-21.99,"posted","Subscriptions","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-09-02","Anni Properties ""september Rent + Water - 1211 Spruce 1f""",1705,"posted","Rent/Utilities","Standard of Living",false,,"regular","Personal Profile",,,"Rent"
"2025-09-01","Annual Membership Fee",95,"posted","Subscriptions","Standard of Living",false,,"regular","Chase Sapphire","6143",,"Annual Membership Fee"
"2025-09-01","Glf*theclubatshannonde",8,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-01","Pecoenergyb",102.52,"posted","Rent/Utilities","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-01","Trader Joe's",78.73,"posted","Groceries","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-01","Nintendo Ca",63.59,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-01","Gsuite Sportsd",0.29,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-09-01","Nintendo Ca",16.95,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-31","Whole Foods",13.63,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-08-31","Monthly Interest Paid",-12.14,"posted","",,true,,"income","360 Performance Savings","9870",,""
"2025-08-31","Sixt Cg1bqmt8z",302.12,"posted","Travel & Vacation",,true,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-31","Amazon.com",148.99,"posted","Shops","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-31","Shelby Gammon ""🚗""",-151,"posted","Travel & Vacation",,true,,"regular","Personal Profile",,,""
"2025-08-31","Sebastian Echegaray ""saloon Of Urbanization""",-37,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-08-31","Standard",37,"posted","",,true,,"regular","Personal Profile",,,""
"2025-08-31","Standard",194.99,"posted","",,true,,"regular","Personal Profile",,,""
"2025-08-30","Sunoco",39.68,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-30","Giant Food",42.39,"posted","Gifts","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-30","Urban Saloon",83,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-08-30","Danny Conlon ""youtube Tv""",-22,"posted","Subscriptions","Standard of Living",false,,"regular","Personal Profile",,,""
"2025-08-30","Standard",233,"posted","",,true,,"regular","Personal Profile",,,""
